epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3259.11,1.41319,1.03384,0.92371,0.42006,0.31177,0.30797,0.17684,1.37636,1.03413,0.91713,0.005842,0.005842,0.005842
44,3336.1,1.40806,1.02848,0.92229,0.41349,0.3194,0.31719,0.18324,1.37302,1.02416,0.91596,0.005743,0.005743,0.005743
45,3410.47,1.39746,1.02052,0.92159,0.41995,0.31601,0.31531,0.18194,1.37353,1.02744,0.91725,0.005644,0.005644,0.005644
46,3485.34,1.40608,1.01933,0.92264,0.41555,0.3191,0.31498,0.18372,1.36882,1.02601,0.9126,0.005545,0.005545,0.005545
47,3560.37,1.39726,1.01636,0.92123,0.41131,0.32033,0.31752,0.18463,1.36991,1.02857,0.91402,0.005446,0.005446,0.005446
48,3634,1.39875,1.01752,0.92132,0.42526,0.32463,0.32039,0.18532,1.3641,1.01634,0.91359,0.005347,0.005347,0.005347
49,3710.17,1.39155,1.0103,0.91926,0.41984,0.32286,0.31742,0.18428,1.36437,1.01902,0.91365,0.005248,0.005248,0.005248
50,3784.43,1.38817,1.01089,0.92023,0.42465,0.3274,0.32238,0.18634,1.36039,1.01691,0.91256,0.005149,0.005149,0.005149
51,3858.61,1.3865,1.00785,0.91845,0.42391,0.32162,0.31965,0.1856,1.36641,1.01164,0.91409,0.00505,0.00505,0.00505
52,3933.61,1.38512,0.99939,0.91869,0.41807,0.3234,0.32012,0.18517,1.36132,1.01345,0.91409,0.004951,0.004951,0.004951
53,4007.95,1.38779,1.00555,0.9198,0.42052,0.32397,0.31915,0.18428,1.36428,1.01623,0.91379,0.004852,0.004852,0.004852
54,4080.73,1.38193,0.99911,0.91642,0.4212,0.32594,0.32204,0.18663,1.35789,1.00868,0.91202,0.004753,0.004753,0.004753
55,4155.92,1.37649,0.99217,0.91731,0.41581,0.32162,0.31981,0.18402,1.35726,1.00867,0.91198,0.004654,0.004654,0.004654
56,4232.06,1.38101,0.98923,0.91565,0.43804,0.321,0.32171,0.18466,1.3565,1.00881,0.91201,0.004555,0.004555,0.004555
57,4307.49,1.37346,0.99015,0.91446,0.43066,0.32281,0.32172,0.18706,1.35253,1.00488,0.91012,0.004456,0.004456,0.004456
58,4385.4,1.36718,0.98007,0.9147,0.43303,0.32432,0.32348,0.18808,1.35317,1.00158,0.91085,0.004357,0.004357,0.004357
59,4462.94,1.36866,0.98022,0.91442,0.43818,0.32542,0.32482,0.18777,1.35557,1.00141,0.91177,0.004258,0.004258,0.004258
60,4545,1.37143,0.98361,0.91404,0.43513,0.32959,0.32648,0.18922,1.35181,1.00128,0.91129,0.004159,0.004159,0.004159
61,4621.93,1.36337,0.97699,0.91392,0.4338,0.3288,0.32762,0.19053,1.34724,0.99847,0.91041,0.00406,0.00406,0.00406
62,4698.44,1.36537,0.97861,0.91308,0.43509,0.32406,0.32572,0.1892,1.34633,0.99927,0.90917,0.003961,0.003961,0.003961
63,4775.12,1.35831,0.97117,0.91311,0.43685,0.32178,0.32683,0.188,1.35243,0.99921,0.91117,0.003862,0.003862,0.003862
64,4851.29,1.35987,0.96998,0.91318,0.44014,0.32451,0.32737,0.18886,1.35106,0.99497,0.90979,0.003763,0.003763,0.003763
65,4928.73,1.35859,0.96577,0.91093,0.43559,0.32399,0.32616,0.18918,1.34579,0.99713,0.90906,0.003664,0.003664,0.003664
66,5005.21,1.35889,0.96778,0.91257,0.43763,0.32828,0.32909,0.19071,1.34347,0.99479,0.9091,0.003565,0.003565,0.003565
67,5086,1.35866,0.96365,0.9116,0.44258,0.32787,0.32823,0.1913,1.34309,0.99367,0.90863,0.003466,0.003466,0.003466
68,5169.56,1.35565,0.95926,0.90988,0.43822,0.32778,0.3285,0.19008,1.34278,0.99368,0.90871,0.003367,0.003367,0.003367
69,5253.69,1.34181,0.95262,0.9096,0.44443,0.32966,0.33012,0.19207,1.34281,0.99179,0.91017,0.003268,0.003268,0.003268
70,5336.27,1.34453,0.95152,0.90979,0.42696,0.32953,0.32853,0.19009,1.3433,0.99502,0.90859,0.003169,0.003169,0.003169
71,5417.28,1.34695,0.95251,0.90884,0.42974,0.33448,0.33032,0.19132,1.33881,0.99338,0.90692,0.00307,0.00307,0.00307
72,5499.89,1.34957,0.95229,0.90916,0.44367,0.32844,0.33157,0.19206,1.3411,0.99173,0.90766,0.002971,0.002971,0.002971
73,5581.63,1.34644,0.94859,0.90919,0.44292,0.33061,0.3321,0.19243,1.33911,0.99101,0.90805,0.002872,0.002872,0.002872
74,5663.49,1.35407,0.95274,0.90778,0.44564,0.32562,0.33015,0.19199,1.34038,0.98969,0.90872,0.002773,0.002773,0.002773
75,5746.71,1.33015,0.93595,0.90656,0.44592,0.32699,0.32968,0.19208,1.34216,0.98825,0.90858,0.002674,0.002674,0.002674
76,5828.46,1.33143,0.93525,0.90797,0.44441,0.33097,0.33167,0.19281,1.34217,0.98586,0.90917,0.002575,0.002575,0.002575
77,5911.17,1.33654,0.93928,0.90567,0.43844,0.32729,0.32872,0.19187,1.34136,0.98953,0.90852,0.002476,0.002476,0.002476
78,5995.86,1.33705,0.9396,0.90581,0.44077,0.32689,0.32858,0.19189,1.33814,0.98766,0.90779,0.002377,0.002377,0.002377
79,6079.62,1.32627,0.93153,0.90547,0.43687,0.33061,0.33016,0.19206,1.3374,0.98817,0.90719,0.002278,0.002278,0.002278
80,6156.66,1.33175,0.93468,0.90576,0.44907,0.32772,0.33186,0.19283,1.33697,0.98791,0.90655,0.002179,0.002179,0.002179
81,6233.55,1.32951,0.92909,0.9058,0.44656,0.32687,0.33405,0.19334,1.33759,0.98818,0.90664,0.00208,0.00208,0.00208
82,6310.16,1.33022,0.92551,0.90418,0.4389,0.3329,0.33356,0.19375,1.33713,0.98698,0.90671,0.001981,0.001981,0.001981
83,6386.94,1.3205,0.92359,0.90297,0.43913,0.3311,0.33276,0.19316,1.33437,0.98612,0.90566,0.001882,0.001882,0.001882
84,6463.98,1.32264,0.92134,0.90362,0.44223,0.33453,0.33556,0.19485,1.33216,0.98381,0.90528,0.001783,0.001783,0.001783
85,6541.51,1.32004,0.92101,0.90263,0.43508,0.3364,0.3332,0.19433,1.33141,0.98682,0.90509,0.001684,0.001684,0.001684
86,6618.63,1.32003,0.91694,0.90288,0.43557,0.33395,0.33182,0.1936,1.33272,0.98754,0.9058,0.001585,0.001585,0.001585
87,6695.79,1.31416,0.91299,0.90116,0.43813,0.33449,0.33363,0.19429,1.33193,0.98681,0.90582,0.001486,0.001486,0.001486
88,6773.03,1.30757,0.90524,0.9004,0.44201,0.33429,0.33426,0.19484,1.33324,0.98621,0.90574,0.001387,0.001387,0.001387
89,6850.73,1.31389,0.91076,0.90102,0.44259,0.33296,0.33515,0.19502,1.33554,0.98665,0.90646,0.001288,0.001288,0.001288
90,6928.44,1.31345,0.91146,0.90216,0.44224,0.32842,0.33374,0.19433,1.33442,0.98761,0.90633,0.001189,0.001189,0.001189
91,7033.86,1.28459,0.88817,0.90208,0.43915,0.32994,0.3313,0.19246,1.33774,0.98869,0.90633,0.00109,0.00109,0.00109
92,7106.31,1.27546,0.87123,0.8986,0.43724,0.32965,0.33015,0.19142,1.33782,0.98993,0.90711,0.000991,0.000991,0.000991
93,7179.49,1.27189,0.86892,0.89757,0.43572,0.32904,0.32989,0.19109,1.33676,0.98877,0.90726,0.000892,0.000892,0.000892
94,7252.52,1.26785,0.86354,0.89876,0.43912,0.32735,0.32961,0.19132,1.33895,0.9888,0.90704,0.000793,0.000793,0.000793
95,7325.08,1.26343,0.86045,0.89706,0.44192,0.32698,0.33006,0.1919,1.33915,0.9873,0.90723,0.000694,0.000694,0.000694
96,7396.93,1.25957,0.85368,0.89562,0.43746,0.33091,0.33091,0.19182,1.33995,0.98619,0.90745,0.000595,0.000595,0.000595
97,7466.73,1.25836,0.85161,0.89622,0.43725,0.32911,0.33078,0.19178,1.33879,0.98479,0.90727,0.000496,0.000496,0.000496
98,7536.35,1.2548,0.84993,0.89411,0.44181,0.32832,0.3312,0.19194,1.33806,0.98541,0.90701,0.000397,0.000397,0.000397
99,7607.69,1.2547,0.84735,0.89484,0.43844,0.33032,0.3311,0.1921,1.33846,0.98563,0.907,0.000298,0.000298,0.000298
100,7677.68,1.25298,0.84489,0.89404,0.44216,0.32834,0.33099,0.19222,1.33852,0.98536,0.90696,0.000199,0.000199,0.000199
