epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,202.177,1.71924,2.34422,1.13713,0.3828,0.22183,0.18055,0.10127,1.53512,1.48363,1.05977,0.00332921,0.00332921,0.00332921
2,477.519,1.65403,1.67617,1.08211,0.29618,0.26367,0.22957,0.1295,1.49039,1.35106,1.03292,0.00659659,0.00659659,0.00659659
3,632.137,1.64923,1.60263,1.07332,0.30963,0.28844,0.24251,0.14007,1.49262,1.33332,1.03141,0.00979796,0.00979796,0.00979796
4,783.586,1.6419,1.54391,1.06596,0.35996,0.2829,0.26199,0.15158,1.47774,1.27924,1.02891,0.009703,0.009703,0.009703
5,958.425,1.60471,1.46365,1.04839,0.3371,0.28104,0.25155,0.14629,1.52139,1.29571,1.02186,0.009604,0.009604,0.009604
6,1133.39,1.58091,1.4164,1.03901,0.37087,0.31074,0.28484,0.16818,1.4474,1.22915,1.01227,0.009505,0.009505,0.009505
7,1288.39,1.56593,1.38045,1.03493,0.38195,0.31463,0.29415,0.17453,1.41752,1.19071,0.99989,0.009406,0.009406,0.009406
8,1455.22,1.54263,1.33395,1.02847,0.39187,0.32224,0.30466,0.17897,1.43005,1.17784,0.9914,0.009307,0.009307,0.009307
9,3344.19,1.53144,1.3195,1.02291,0.39154,0.3392,0.31962,0.19018,1.39294,1.15195,0.99044,0.009208,0.009208,0.009208
10,3511.54,1.52799,1.29382,1.02267,0.41613,0.33345,0.32526,0.19214,1.39656,1.14081,0.98979,0.009109,0.009109,0.009109
11,3913.91,1.51442,1.27166,1.01495,0.38663,0.34676,0.323,0.19043,1.39871,1.13487,0.98574,0.00901,0.00901,0.00901
12,4088.19,1.50583,1.25308,1.01406,0.43758,0.33715,0.33635,0.20007,1.37838,1.11916,0.98258,0.008911,0.008911,0.008911
13,4467.71,1.50139,1.24614,1.01048,0.42734,0.35884,0.34035,0.20053,1.37414,1.10477,0.98236,0.008812,0.008812,0.008812
14,4630.86,1.49734,1.23573,1.01038,0.45532,0.34912,0.34991,0.20823,1.3702,1.09015,0.97961,0.008713,0.008713,0.008713
15,7354.93,1.48401,1.21572,1.00253,0.44682,0.35447,0.35143,0.21089,1.36033,1.08169,0.9757,0.008614,0.008614,0.008614
16,7521.42,1.48729,1.21467,1.00631,0.45142,0.35714,0.35504,0.21305,1.35428,1.07622,0.97435,0.008515,0.008515,0.008515
17,7669.51,1.47335,1.1996,1.0011,0.46215,0.36676,0.36723,0.22135,1.34608,1.0649,0.97092,0.008416,0.008416,0.008416
18,7819.82,1.45759,1.17987,0.99935,0.45138,0.35529,0.35729,0.21576,1.3502,1.07168,0.97061,0.008317,0.008317,0.008317
19,7961.25,1.45752,1.17524,1.00051,0.46633,0.37517,0.37323,0.22375,1.35348,1.05159,0.97477,0.008218,0.008218,0.008218
20,8111.79,1.45614,1.17135,0.99607,0.47852,0.36532,0.37092,0.22169,1.34634,1.05246,0.97231,0.008119,0.008119,0.008119
21,8256.57,1.45436,1.16606,0.99562,0.45675,0.37559,0.37303,0.2237,1.34415,1.04699,0.97137,0.00802,0.00802,0.00802
22,8412.62,1.454,1.16332,0.99537,0.46221,0.38164,0.3743,0.22289,1.34721,1.0437,0.96974,0.007921,0.007921,0.007921
23,8571.73,1.44425,1.15252,0.99265,0.47459,0.37532,0.3791,0.22828,1.33924,1.04417,0.96637,0.007822,0.007822,0.007822
24,9830.47,1.43612,1.14095,0.99007,0.47079,0.37432,0.3781,0.22592,1.3433,1.03776,0.96857,0.007723,0.007723,0.007723
25,9988.02,1.43218,1.13392,0.98813,0.48322,0.38243,0.38053,0.22894,1.32756,1.03609,0.96745,0.007624,0.007624,0.007624
26,10145.2,1.42615,1.12564,0.98695,0.46817,0.38031,0.38173,0.23107,1.3238,1.02619,0.96378,0.007525,0.007525,0.007525
27,10299.7,1.43146,1.12746,0.98809,0.47498,0.37533,0.38461,0.23285,1.32283,1.02473,0.96465,0.007426,0.007426,0.007426
28,10471.8,1.42102,1.12384,0.98469,0.49828,0.38002,0.39203,0.2379,1.32374,1.01714,0.96123,0.007327,0.007327,0.007327
29,10625.8,1.42413,1.12231,0.98462,0.4803,0.38779,0.39357,0.23749,1.31315,1.01196,0.96333,0.007228,0.007228,0.007228
30,10787.4,1.41483,1.11025,0.9829,0.48134,0.39116,0.39305,0.23662,1.31993,1.01214,0.96234,0.007129,0.007129,0.007129
31,11122.1,1.41711,1.11019,0.98408,0.48323,0.39037,0.39398,0.23575,1.32055,1.00852,0.96142,0.00703,0.00703,0.00703
32,11292.8,1.41747,1.10929,0.98447,0.4844,0.38159,0.39072,0.23653,1.31588,1.01188,0.95897,0.006931,0.006931,0.006931
33,13905.1,1.40833,1.10121,0.9816,0.49179,0.38903,0.39822,0.24005,1.31471,1.00673,0.95915,0.006832,0.006832,0.006832
34,14047.5,1.41124,1.10119,0.98031,0.48691,0.38931,0.39549,0.23949,1.31343,0.99989,0.95784,0.006733,0.006733,0.006733
35,14190.3,1.41006,1.10031,0.98158,0.50576,0.38392,0.3982,0.2413,1.31202,0.99986,0.95898,0.006634,0.006634,0.006634
36,14364.3,1.4082,1.09387,0.97888,0.4856,0.39175,0.40065,0.24296,1.31204,0.99917,0.95896,0.006535,0.006535,0.006535
37,14520.4,1.39754,1.08497,0.97706,0.50287,0.39618,0.40585,0.24624,1.29767,0.99041,0.95482,0.006436,0.006436,0.006436
38,14663,1.40032,1.07963,0.97592,0.49371,0.40006,0.40715,0.2449,1.30116,0.99079,0.95657,0.006337,0.006337,0.006337
39,14809.3,1.40545,1.08606,0.97688,0.50172,0.39438,0.4083,0.24663,1.30669,0.99115,0.95626,0.006238,0.006238,0.006238
40,14951.5,1.39369,1.07597,0.976,0.50502,0.3983,0.40697,0.24856,1.30387,0.98804,0.95651,0.006139,0.006139,0.006139
41,15095.6,1.3894,1.07208,0.97372,0.50622,0.39996,0.41252,0.24939,1.30538,0.98238,0.95648,0.00604,0.00604,0.00604
42,15494.6,1.38868,1.06774,0.97269,0.49551,0.41149,0.41123,0.25059,1.29858,0.98239,0.9542,0.005941,0.005941,0.005941
43,15636.7,1.38799,1.06383,0.97383,0.50182,0.40124,0.41136,0.24965,1.29921,0.9782,0.95532,0.005842,0.005842,0.005842
