epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,291.103,1.43856,1.54505,1.05741,0.45144,0.3758,0.37055,0.22426,1.3222,1.08927,1.0084,0.00333127,0.00333127,0.00333127
2,4409.29,1.38236,1.21288,1.01979,0.46753,0.41255,0.3966,0.24354,1.2753,1.07252,0.99483,0.00659863,0.00659863,0.00659863
3,4770.59,1.41342,1.21465,1.02878,0.48357,0.41139,0.41384,0.25083,1.31663,1.06089,1.00636,0.00979998,0.00979998,0.00979998
