x_min,y_min,x_max,y_max,class_id,confidence,tracker_id,class_name,frame
895.3618,1851.9327,970.1848,2010.4003,3,0.829229,11,car,6
908.4729,1687.7314,970.02673,1802.4192,3,0.8275886,12,car,6
878.36005,1021.63367,930.82416,1104.9313,3,0.8112732,10,car,6
892.41394,1191.5525,943.8684,1282.7549,3,0.7949099,13,car,6
869.63947,896.3678,916.5258,962.7809,3,0.7697692,15,car,6
851.77356,807.1547,905.063,884.1517,3,0.64438295,16,car,6
790.7481,2746.5972,898.8926,2932.2651,3,0.8845372,1,car,7
856.6227,2256.7788,941.74,2433.0977,3,0.8654533,3,car,7
809.5567,2483.2039,907.5207,2671.18,3,0.8489645,8,car,7
890.93463,2050.7173,959.9958,2188.9897,3,0.84753174,7,car,7
911.9385,1504.1151,974.28406,1623.4113,3,0.83655524,9,car,7
889.36804,1338.5454,949.63086,1450.2573,3,0.83639336,5,car,7
895.29364,1851.7827,970.1911,2010.429,3,0.83035153,11,car,7
908.8601,1687.6978,970.4903,1802.3577,3,0.82684624,12,car,7
878.61017,1022.0552,930.1027,1105.125,3,0.81826556,10,car,7
892.04535,1192.814,943.9122,1284.2091,3,0.81355786,13,car,7
869.6492,896.04767,916.2074,962.81525,3,0.76989204,15,car,7
851.39264,808.19183,904.96234,882.9778,3,0.64555883,16,car,7
790.6163,2746.45,899.0114,2932.2896,3,0.8853412,1,car,8
856.7068,2256.811,941.6714,2433.039,3,0.86506385,3,car,8
809.4069,2483.0715,907.6126,2671.1833,3,0.84793234,8,car,8
891.04956,2050.6348,960.0437,2188.689,3,0.84773386,7,car,8
911.88574,1504.1345,974.0482,1623.5383,3,0.8360981,9,car,8
889.21893,1338.2662,949.60126,1450.8533,3,0.8357852,5,car,8
895.4209,1851.8391,970.2662,2010.3147,3,0.8299263,11,car,8
908.92786,1687.7501,970.0316,1802.495,3,0.82813203,12,car,8
892.1913,1195.0713,944.1229,1284.5719,3,0.81474835,13,car,8
878.8552,1022.2035,929.9083,1105.6553,3,0.81265473,10,car,8
869.1576,895.4608,916.0978,963.20416,3,0.7707131,15,car,8
851.2716,808.4672,905.0017,882.73004,3,0.6501476,16,car,8
790.75745,2746.4182,899.3269,2932.2307,3,0.8850156,1,car,9
856.6937,2256.5603,941.54425,2433.2432,3,0.86556387,3,car,9
810.0022,2482.5312,907.45056,2671.399,3,0.84553444,8,car,9
891.02686,2050.6572,959.88513,2188.832,3,0.84507304,7,car,9
889.19,1338.5885,950.04913,1451.8286,3,0.84274465,5,car,9
911.94305,1504.1133,974.0063,1623.4662,3,0.83642924,9,car,9
895.1596,1851.9028,970.13434,2010.3606,3,0.833967,11,car,9
908.6908,1687.5901,970.02966,1802.4371,3,0.8283925,12,car,9
891.84717,1195.9622,944.2971,1284.1578,3,0.8160327,13,car,9
878.8579,1022.28937,929.8341,1105.7971,3,0.8135842,10,car,9
868.90063,896.38477,915.954,963.429,3,0.7580749,15,car,9
851.0602,808.80597,904.78735,883.24896,3,0.62296975,16,car,9
790.7976,2746.2432,899.4457,2932.246,3,0.88517046,1,car,10
856.64246,2256.7227,941.65247,2433.1428,3,0.8655418,3,car,10
809.76416,2483.1523,907.4282,2671.0654,3,0.85079277,8,car,10
891.00256,2050.4956,959.81726,2188.9446,3,0.848517,7,car,10
912.2818,1504.0825,974.2337,1623.0227,3,0.83857805,9,car,10
895.29584,1851.5596,970.24347,2010.4358,3,0.8290214,11,car,10
910.1542,1687.8849,969.5011,1801.7443,3,0.82873195,12,car,10
891.44446,1196.6216,944.12964,1285.3401,3,0.82019776,13,car,10
889.2986,1339.8503,950.88153,1452.3645,3,0.81937474,5,car,10
879.1428,1022.30475,929.94434,1106.0803,3,0.8130387,10,car,10
869.2582,895.9265,915.9147,964.3761,3,0.7635025,15,car,10
851.0654,807.5755,905.1524,882.384,3,0.6361681,16,car,10
790.82025,2746.0981,899.5406,2932.3074,3,0.8841088,1,car,11
856.7078,2256.5479,941.831,2433.107,3,0.8656803,3,car,11
809.4685,2482.8752,907.7075,2671.113,3,0.85218513,8,car,11
890.9489,2050.4521,959.8669,2189.2085,3,0.8475987,7,car,11
912.29626,1503.999,973.97424,1623.1879,3,0.83750004,9,car,11
891.80145,1196.9326,943.58185,1285.5007,3,0.83036995,13,car,11
895.1084,1851.6559,970.19666,2010.4669,3,0.82842416,11,car,11
910.084,1687.9252,969.2366,1801.7677,3,0.826376,12,car,11
879.516,1022.6219,929.8967,1106.2241,3,0.8136461,10,car,11
888.25836,1341.1072,950.6098,1453.5508,3,0.7952109,5,car,11
869.6144,896.6642,915.8683,964.8966,3,0.764196,15,car,11
850.8175,807.42773,904.9241,882.4072,3,0.6346008,16,car,11
791.0127,2745.8896,899.7539,2932.2786,3,0.8838123,1,car,12
856.70966,2256.6216,941.8112,2433.1943,3,0.8658276,3,car,12
809.8766,2482.9922,907.54395,2671.029,3,0.85073686,8,car,12
891.0987,2050.5737,959.8907,2189.0674,3,0.8470429,7,car,12
912.33563,1504.1724,973.92096,1623.3658,3,0.83795255,9,car,12
892.2411,1197.434,943.9312,1285.5791,3,0.8339379,13,car,12
895.2272,1851.7101,970.26086,2010.4874,3,0.82999414,11,car,12
909.6857,1687.8347,969.1386,1801.771,3,0.8278079,12,car,12
879.76447,1023.10657,929.87036,1106.6174,3,0.81223565,10,car,12
888.3609,1340.9706,951.2316,1453.4545,3,0.79579484,5,car,12
869.1742,897.42236,915.5713,965.1835,3,0.7481958,15,car,12
850.81055,807.69415,905.2694,883.457,3,0.6298296,16,car,12
790.94806,2746.1465,900.06134,2932.2815,3,0.8845339,1,car,13
856.60547,2256.7808,941.79236,2433.0605,3,0.8659872,3,car,13
809.95264,2482.905,907.5239,2670.835,3,0.85212713,8,car,13
891.0359,2050.5647,960.0875,2189.2197,3,0.84609234,7,car,13
912.3184,1504.299,974.26666,1623.0249,3,0.83878684,9,car,13
910.1836,1687.8584,969.45667,1801.7034,3,0.8287324,12,car,13
888.66943,1340.9475,951.25525,1453.0723,3,0.8283451,5,car,13
892.2942,1197.4866,943.9314,1287.6538,3,0.8282763,13,car,13
895.2302,1851.7053,970.2091,2010.457,3,0.8247696,11,car,13
880.2506,1023.3739,930.2906,1106.8158,3,0.8132884,10,car,13
869.6356,896.26227,915.4909,965.4567,3,0.7539344,15,car,13
850.71387,807.6843,905.22144,882.7091,3,0.6459182,16,car,13
791.0343,2746.0427,900.1304,2932.2776,3,0.8845875,1,car,14
856.6362,2256.078,941.8458,2432.916,3,0.86514336,3,car,14
888.19464,1341.2424,950.7552,1452.8507,3,0.85591877,5,car,14
809.8793,2482.7236,907.67114,2670.9995,3,0.85224426,8,car,14
891.1888,2050.5605,959.95953,2189.23,3,0.8466408,7,car,14
912.4662,1504.4081,973.9563,1623.2124,3,0.8383175,9,car,14
895.16736,1851.5299,970.41846,2010.4647,3,0.8304976,11,car,14
909.3434,1687.5579,970.1758,1802.4668,3,0.8271546,12,car,14
892.3705,1197.7087,944.15674,1288.7762,3,0.82198215,13,car,14
880.4121,1024.1113,930.6101,1107.3921,3,0.8141603,10,car,14
869.8925,897.12195,915.492,965.7356,3,0.76268893,15,car,14
850.76056,808.3442,905.22015,883.0673,3,0.64147675,16,car,14
791.1467,2746.2546,899.94434,2932.3857,3,0.88417184,1,car,15
856.7184,2256.1768,941.8252,2432.8647,3,0.8652145,3,car,15
887.80426,1341.3809,951.2371,1453.1276,3,0.8556462,5,car,15
809.68854,2482.782,907.51337,2670.5808,3,0.8540646,8,car,15
891.0958,2050.5342,959.9592,2189.5303,3,0.8460265,7,car,15
912.49805,1504.196,974.02277,1623.3783,3,0.83924705,9,car,15
895.086,1851.6152,970.39215,2010.438,3,0.83221465,11,car,15
908.87476,1687.5999,970.1155,1802.3376,3,0.82763916,12,car,15
880.8135,1024.5486,930.62366,1107.5056,3,0.81617534,10,car,15
892.7527,1197.6736,943.53955,1290.3334,3,0.8068364,13,car,15
870.01855,898.6146,915.5038,965.8762,3,0.7581495,15,car,15
851.13885,808.6412,905.4091,884.1308,3,0.62993133,16,car,15
791.4454,2745.9272,900.2159,2932.1858,3,0.88384795,1,car,16
856.74646,2256.1204,941.88794,2432.936,3,0.8650229,3,car,16
809.6142,2482.8127,907.6038,2670.6687,3,0.85690176,8,car,16
887.48047,1341.6658,950.953,1452.7892,3,0.85468274,5,car,16
891.04565,2050.5195,959.8533,2189.4004,3,0.84730846,7,car,16
912.5788,1504.323,974.1634,1623.0458,3,0.8399942,9,car,16
895.08453,1851.5035,970.33997,2010.486,3,0.830393,11,car,16
910.18445,1687.7904,969.48425,1801.6593,3,0.82773364,12,car,16
880.6068,1025.3317,930.989,1107.7046,3,0.8156477,10,car,16
892.8248,1198.2798,943.77246,1291.6599,3,0.8087831,13,car,16
870.18787,897.19226,915.4691,966.0216,3,0.7686635,15,car,16
850.7265,808.89185,905.39667,883.2352,3,0.65393496,16,car,16
791.4377,2745.7554,900.56964,2932.121,3,0.88397175,1,car,17
856.8576,2255.9128,941.91156,2432.9531,3,0.8660065,3,car,17
809.71265,2482.726,907.67334,2670.6538,3,0.856074,8,car,17
887.54535,1341.8789,951.1373,1453.1755,3,0.8517925,5,car,17
890.92017,2050.399,959.9121,2189.636,3,0.84616095,7,car,17
912.64655,1504.321,974.02203,1623.2325,3,0.8385583,9,car,17
895.1805,1851.6163,970.32587,2010.2648,3,0.83473855,11,car,17
892.38135,1199.3242,943.78674,1292.1062,3,0.82841665,13,car,17
909.4033,1687.5278,970.25696,1802.4404,3,0.82684445,12,car,17
880.53796,1025.9159,930.7479,1108.1263,3,0.8175496,10,car,17
870.0529,897.4301,915.7432,966.2113,3,0.7806901,15,car,17
850.82574,808.24164,905.48016,883.29767,3,0.66635495,16,car,17
791.38245,2745.4248,900.645,2932.0332,3,0.8842049,1,car,18
856.9132,2256.1882,941.98376,2432.7612,3,0.8658168,3,car,18
809.90186,2482.7673,907.60144,2670.3706,3,0.85692257,8,car,18
891.0511,2050.499,960.0086,2189.5757,3,0.8469806,7,car,18
887.97534,1342.1101,950.8783,1453.3503,3,0.8427619,5,car,18
912.8044,1504.2468,973.9519,1623.0288,3,0.8384611,9,car,18
895.1658,1851.4343,970.3534,2010.2314,3,0.83661574,11,car,18
909.8919,1687.4941,969.3693,1801.6956,3,0.82820404,12,car,18
880.5408,1027.6467,931.063,1108.4065,3,0.8243436,10,car,18
892.09106,1200.4917,944.0154,1292.769,3,0.82361084,13,car,18
870.07556,897.7899,916.4994,966.2981,3,0.79740757,15,car,18
851.215,809.18207,905.68414,884.4692,3,0.6767221,16,car,18
791.53253,2745.6147,900.44696,2932.0645,3,0.8840279,1,car,19
856.7311,2256.27,942.12415,2432.8413,3,0.8658133,3,car,19
809.74896,2482.8394,907.89496,2670.273,3,0.85729295,8,car,19
890.9271,2050.4333,960.0436,2189.5752,3,0.8470016,7,car,19
888.3047,1341.9944,950.74365,1453.2205,3,0.843077,5,car,19
912.82056,1504.4519,974.1953,1622.8662,3,0.83862597,9,car,19
895.2759,1851.4241,970.4438,2010.1311,3,0.8366779,11,car,19
910.6075,1687.9061,969.6956,1801.7267,3,0.8266454,12,car,19
891.8128,1201.2632,943.9129,1293.3281,3,0.824967,13,car,19
880.41956,1028.2822,930.5751,1108.901,3,0.8222051,10,car,19
870.46387,897.8047,916.69727,966.37,3,0.8033274,15,car,19
850.91174,808.8186,905.6266,883.2876,3,0.7032315,16,car,19
791.47485,2745.8113,900.1406,2931.848,3,0.88400155,1,car,20
856.94336,2256.2476,941.9679,2432.8103,3,0.8657074,3,car,20
809.6922,2483.003,907.8166,2670.316,3,0.85705024,8,car,20
888.52496,1342.564,950.6589,1452.9619,3,0.8526012,5,car,20
890.9954,2050.352,960.043,2189.4248,3,0.8460362,7,car,20
912.83276,1504.3853,974.0019,1623.0085,3,0.83771765,9,car,20
891.27795,1201.3965,944.2044,1293.9006,3,0.8358704,13,car,20
895.1737,1851.4297,970.40405,2010.3782,3,0.8355817,11,car,20
880.572,1028.6512,930.48425,1109.2521,3,0.8267305,10,car,20
909.4358,1687.3674,970.2268,1802.3577,3,0.82622516,12,car,20
870.7639,897.84174,917.0299,966.34625,3,0.809105,15,car,20
851.05273,809.3699,905.8695,883.35767,3,0.72376937,16,car,20
791.54736,2745.858,900.0652,2931.9053,3,0.88292205,1,car,21
856.84515,2256.317,942.22833,2432.8186,3,0.8657739,3,car,21
809.391,2482.856,907.72375,2670.4988,3,0.85811245,8,car,21
889.22076,1343.4932,950.6816,1453.8655,3,0.85272473,5,car,21
891.03754,2050.2021,960.0705,2189.447,3,0.847321,7,car,21
894.8976,1850.9998,970.2356,2008.991,3,0.8391883,11,car,21
912.8681,1504.4705,974.0731,1623.114,3,0.83807224,9,car,21
891.30273,1201.2197,944.32605,1293.656,3,0.8322766,13,car,21
909.91943,1687.7102,969.381,1801.6838,3,0.82759285,12,car,21
880.6474,1029.5784,930.53503,1109.5498,3,0.82609504,10,car,21
871.1979,899.4205,917.2194,966.4107,3,0.80614835,15,car,21
851.9868,809.8198,905.61255,884.2947,3,0.7104743,16,car,21
791.76215,2745.6792,900.3481,2932.0469,3,0.8827553,1,car,22
856.7954,2256.314,942.15845,2432.796,3,0.8660822,3,car,22
809.5677,2483.0337,907.7203,2670.3403,3,0.8598914,8,car,22
890.8989,2050.1123,960.2446,2189.8123,3,0.8478881,7,car,22
894.81885,1851.0055,970.4059,2008.8644,3,0.8457411,11,car,22
889.8175,1343.1786,950.588,1454.9854,3,0.84105814,5,car,22
